SET IDENTITY_INSERT [dbo].[Article] ON
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (1, N'Laptop Dell Inspiron', CAST(799.9900 AS SmallMoney), 40, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (152, N'Kaffeemaschine Nespresso Vertuo', CAST(199.9900 AS SmallMoney), 0, 0)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (153, N'4K Monitor Dell UltraSharp', CAST(799.9900 AS SmallMoney), 15, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (154, N'Externe Festplatte Seagate Backup Plus', CAST(109.9900 AS SmallMoney), 0, 0)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (155, N'Smartphone Hülle OtterBox', CAST(29.9900 AS SmallMoney), 150, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (156, N'Kabellose Maus Razer Basilisk X', CAST(59.9900 AS SmallMoney), 0, 0)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (157, N'Mechanische Tastatur Logitech G Pro', CAST(129.9900 AS SmallMoney), 50, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (158, N'Fitness Tracker Garmin Vivosmart 4', CAST(99.9900 AS SmallMoney), 0, 0)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (159, N'Tablet Apple iPad Air', CAST(599.9900 AS SmallMoney), 20, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (160, N'Drohne Parrot Anafi', CAST(699.9900 AS SmallMoney), 0, 0)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (161, N'Smart Home Hub Google Nest', CAST(129.9900 AS SmallMoney), 50, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (162, N'Luftreiniger Philips Series 2000i', CAST(399.9900 AS SmallMoney), 0, 0)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (163, N'Elektrischer Rasierer Panasonic ES-LV65', CAST(199.9900 AS SmallMoney), 40, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (164, N'Digitalkamera Canon PowerShot G7 X', CAST(749.9900 AS SmallMoney), 0, 0)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (165, N'E-Book Reader Amazon Kindle Oasis', CAST(249.9900 AS SmallMoney), 30, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (166, N'Smart Thermostat Ecobee', CAST(249.9900 AS SmallMoney), 0, 0)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (167, N'Kabellose Kopfhörer Bose QuietComfort 35 II', CAST(299.9900 AS SmallMoney), 50, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (168, N'USB-C Hub Satechi', CAST(59.9900 AS SmallMoney), 0, 0)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (169, N'Gaming Headset HyperX Cloud Alpha', CAST(99.9900 AS SmallMoney), 60, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (170, N'Smartphone Realme 7 Pro', CAST(299.9900 AS SmallMoney), 0, 0)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (171, N'Laptop Tasche AmazonBasics', CAST(29.9900 AS SmallMoney), 100, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (172, N'Elektrische Zahnbürste Philips Sonicare', CAST(89.9900 AS SmallMoney), 0, 0)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (173, N'Smartwatch Samsung Galaxy Watch Active 2', CAST(249.9900 AS SmallMoney), 30, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (174, N'Bluetooth Kopfhörer Anker Soundcore Life Q20', CAST(59.9900 AS SmallMoney), 0, 0)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (175, N'Smartphone Motorola Moto G9 Plus', CAST(249.9900 AS SmallMoney), 50, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (176, N'Laptop Acer Aspire 5', CAST(549.9900 AS SmallMoney), 0, 0)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (177, N'Tablet Lenovo Tab M10', CAST(199.9900 AS SmallMoney), 40, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (178, N'Smart Home Kamera Blink XT2', CAST(99.9900 AS SmallMoney), 0, 0)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (179, N'Kabellose Maus Apple Magic Mouse 2', CAST(79.9900 AS SmallMoney), 50, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (180, N'Gaming Tastatur Razer Cynosa Chroma', CAST(59.9900 AS SmallMoney), 0, 0)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (181, N'Smartphone Vivo V21', CAST(349.9900 AS SmallMoney), 30, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (182, N'Laptop MSI GF63', CAST(799.9900 AS SmallMoney), 0, 0)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (183, N'Bluetooth Kopfhörer Sony WH-CH710N', CAST(129.9900 AS SmallMoney), 60, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (184, N'Smartwatch Fossil Gen 5', CAST(299.9900 AS SmallMoney), 0, 0)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (185, N'Elektrischer Wasserkocher Russell Hobbs', CAST(49.9900 AS SmallMoney), 90, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (186, N'Gaming Stuhl AKRacing Core Series', CAST(329.9900 AS SmallMoney), 0, 0)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (187, N'Kaffeemaschine Jura E6', CAST(999.9900 AS SmallMoney), 10, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (188, N'4K Monitor BenQ PD2700U', CAST(499.9900 AS SmallMoney), 0, 0)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (189, N'Externe Festplatte Toshiba Canvio', CAST(79.9900 AS SmallMoney), 100, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (190, N'Smartphone Hülle Caseology', CAST(24.9900 AS SmallMoney), 0, 0)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (191, N'Kabellose Maus Corsair Harpoon RGB', CAST(49.9900 AS SmallMoney), 70, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (192, N'Mechanische Tastatur Ducky One 2 Mini', CAST(109.9900 AS SmallMoney), 0, 0)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (193, N'Fitness Tracker Fitbit Inspire 2', CAST(99.9900 AS SmallMoney), 60, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (194, N'Tablet Huawei MatePad Pro', CAST(499.9900 AS SmallMoney), 0, 0)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (195, N'Drohne Yuneec Mantis Q', CAST(499.9900 AS SmallMoney), 10, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (196, N'Smart Home Hub Samsung SmartThings', CAST(89.9900 AS SmallMoney), 0, 0)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (197, N'Luftreiniger Coway AP-1512HH', CAST(229.9900 AS SmallMoney), 25, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (198, N'Rinti Hundefutter 1kg', CAST(10.6600 AS SmallMoney), 2, 1)
SET IDENTITY_INSERT [dbo].[Article] OFF
